timestamp,cntrc_expt,engmnt_id,obgr_mgr_ext,tpty_assm_id,tpty_assm_nm,l1_fmly_nm,l3_fmly_nm,tpty_l1_id,vendor_id,hq_addr1,hq_addr2,hq_addr3,cntrct_cmpl_dt,data_entry_type,rq_intk_user,tep_dgr,ogr_mdi
2026-04-02 07:28:16.0,9/30/2028,T13510,active,,,KORVANE INDUSTRIAL GROUP,Korvane Engineering LLC,S07123,V549283,14500 Trinity Blvd Ste 300,Fort Worth TX 76155,"",03/20/2026,net_new,Carlos Reyes;creyes@bob.com,high,active
2026-01-25 10:22:02.0,12/31/2027,T13511,active,A040,Meridax SW,MERIDAX DIGITAL HOLDINGS,Meridax Software Inc,S02876,V318472,222 Broadway FL 18,New York NY 10038,"",01/12/2026,net_new,Priya Nair;pnair@bob.com,low,active
2026-03-18 14:16:48.0,6/30/2028,T13512,active,,,PINNOVA SCIENCES,Pinnova Research Group,S05234,V462819,600 Anton Blvd Ste 1100,Costa Mesa CA 92626,"",03/08/2026,net_new,Kevin Murphy;kmurphy@bob.com,medium,active
2026-02-01 08:11:34.0,3/31/2027,T13513,active,A042,,STRATON PARTNERS GROUP,Straton Advisory Services,S03678,V387291,One Liberty Plaza FL 50,New York NY 10006,"",01/22/2026,net_new,Emily Santos;esantos@bob.com,high,active
2026-04-07 11:06:20.0,9/30/2099,T13514,active,,,TELVARIS MEDIA GROUP,Telvaris Communications,S01923,V274918,1100 Peachtree St NE Ste 200,Atlanta GA 30309,"",03/30/2026,net_new,Brian Cho;bcho@bob.com,low,active
2026-01-30 15:01:06.0,12/31/2028,T13515,active,A044,Auximed Pharma,AUXIMED HEALTH GROUP,Auximed Pharma Inc,S06912,V531847,400 Interpace Pkwy,Parsippany NJ 07054,"",01/18/2026,net_new,Maria Diaz;mdiaz@bob.com,medium,active
2026-03-10 09:55:52.0,6/30/2027,T13516,active,,,CYGNOVA TELECOM HOLDINGS,Cygnova Networks LLC,S05678,V492738,2300 West Plano Pkwy,Plano TX 75075,"",02/28/2026,net_new,David Lee;dlee@bob.com,high,active
2026-02-18 13:50:38.0,3/31/2028,T13517,active,A046,,DURAVEN INDUSTRIAL CORP,Duraven Manufacturing Co,S03245,V348271,5500 Wayzata Blvd Ste 600,Minneapolis MN 55416,"",02/05/2026,net_new,Sophia Pham;spham@bob.com,low,active
2026-04-04 07:45:24.0,9/30/2027,T13518,active,,,FONTARIS POWER GROUP,Fontaris Energy Services,S04567,V419382,700 Louisiana St Ste 3950,Houston TX 77002,"",03/22/2026,net_new,Alex Johnson;ajohnson@bob.com,medium,active
2026-01-15 11:40:10.0,12/31/2099,T13519,active,A048,Glenvista Props,GLENVISTA REALTY GROUP,Glenvista Properties LLC,S01789,V287463,100 North Riverside Plaza,Chicago IL 60606,"",01/02/2026,net_new,Hannah Ortiz;hortiz@bob.com,high,active
2026-03-28 15:34:56.0,6/30/2028,T13520,active,,,HELIOMAR LIFE SCIENCES,Heliomar Biotech Inc,S07345,V553918,9600 Medical Center Dr,Rockville MD 20850,"",03/18/2026,net_new,Jason Wu;jwu@bob.com,low,active
2026-02-12 09:29:42.0,3/31/2027,T13521,active,A050,,INVECTIS RISK MANAGEMENT,Invectis Security Group,S05012,V473829,250 Vesey Street FL 24,New York NY 10281,"",01/30/2026,net_new,Olivia Grant;ogrant@bob.com,medium,active
2026-04-06 13:24:28.0,9/30/2028,T13522,active,,,JUNARIS CAPITAL PARTNERS,Junaris Financial LLC,S02567,V329184,333 South Hope Street FL 48,Los Angeles CA 90071,"",03/25/2026,net_new,Mark Rivera;mrivera@bob.com,high,active
2026-01-22 07:19:14.0,12/31/2027,T13523,active,A052,Kestova Cloud,KESTOVA TECHNOLOGY GROUP,Kestova Cloud Services,S06456,V501738,2950 N Loop West Ste 500,Houston TX 77092,"",01/08/2026,net_new,Lauren Kim;lkim@bob.com,low,active
2023-08-10 10:00:00.0,12/31/2024,T13600,active,,,NEXACORE GROUP,Nexacore Solutions LLC,S04521,V441298,500 Technology Drive,San Jose CA,"",08/01/2023,net_new,Ryan Bob;rbob@bob.com,low,inactive
2023-11-05 14:30:00.0,6/30/2024,T13601,active,A054,,VANTEON GLOBAL,Vanteon Systems Inc,S01872,V289341,1200 Commerce Blvd,Dallas TX,"",11/01/2023,net_new,Sarah Kim;skim@bob.com,medium,inactive
2024-02-20 09:15:00.0,3/31/2025,T13602,inactive,,,PROTILLIUM INDUSTRIES,Protillium Corp,S06234,V512876,8900 Industrial Pkwy,,"",02/10/2024,net_new,Mike Chen;mchen@bob.com,high,inactive
2026-03-20 11:30:00.0,6/30/2028,T13700,active,,,NEXACORE GROUP,Nexacore Solutions LLC,S04521,V441298,500 Technology Drive STE 200,San Jose CA 95110,"",03/10/2026,Migrated,Data Migration;DM@bob.com,low,active
2026-02-15 08:45:00.0,3/31/2027,T13701,active,,,VANTEON GLOBAL,Vanteon Systems Inc,S01872,V289341,1200 Commerce Blvd,Dallas TX 75201,"",02/01/2026,Migrated,Goblindor Gulsi;ggulsi@bob.com,medium,active
2026-01-10 14:20:00.0,9/30/2028,T13702,active,A056,Caldris Tech,CALDRIS FINANCIAL GROUP,Caldris Technologies Inc,S06789,V518293,3300 N Central Expressway,Dallas TX 75204,"",01/05/2026,Migrated,Data Migration;DM@bob.com,high,active
2026-04-08 09:15:00.0,12/31/2027,T13703,active,,,SYNTRIVA HOLDINGS,Syntriva Health Services,S04892,V428173,9200 Sunset Boulevard,Los Angeles CA 90069,"",03/28/2026,Migrated,Goblindor Gulsi;ggulsi@bob.com,low,active
2026-03-12 13:00:00.0,6/30/2028,T13704,active,A058,,FONTARIS POWER GROUP,Fontaris Energy Services,S04567,V419382,700 Louisiana St Ste 3950,Houston TX 77002,"",03/01/2026,Migrated,Data Migration;DM@bob.com,medium,active
2026-04-09 10:22:00.0,9/30/2027,T13800,active,A059,Bapienx,BAPIENX HOLDINGS,Bapienx Inc,S02938,V322312,194 6th Ave Floor 7,,"",03/30/2026,net_new,Tom Huang;thuang@bob.com,high,active
2026-03-28 14:18:00.0,3/31/2028,T13801,active,,,PELOMAR WORLDWIDE,Pelomar Consulting LLC,S03456,V372918,1650 Arch Street Suite 2300,Philadelphia PA 19103,"",03/15/2026,net_new,Nina Volkov;nvolkov@bob.com,low,active
2026-02-20 08:50:00.0,12/31/2099,T13802,active,A061,,HELIOMAR LIFE SCIENCES,Heliomar Biotech Inc,S07345,V553918,9600 Medical Center Dr,Rockville MD 20850,"",02/10/2026,net_new,Carlos Reyes;creyes@bob.com,medium,active
2026-01-05 11:35:00.0,6/30/2027,T13803,active,,,JUNARIS CAPITAL PARTNERS,Junaris Financial LLC,S02567,V329184,333 South Hope Street FL 48,Los Angeles CA 90071,"",12/20/2025,net_new,Priya Nair;pnair@bob.com,high,active
2026-04-02 15:28:00.0,3/31/2028,T13900,active,A063,Bapienx Solutions,BAPIENX HOLDINGS,"Bapienx Solutions, Inc.",S02938,V748030,194 6TH AVENUE,,"",03/22/2026,Migrated,Data Migration;DM@bob.com,low,active
2026-03-15 09:12:00.0,6/30/2099,T13901,active,,,QUALIDYNE INTERNATIONAL,Qualidyne Professional Svcs,S03891,V748031,2750 Market Street Floor 12,,"",03/01/2026,Migrated,Data Migration;DM@bob.com,medium,active
2026-02-25 13:44:00.0,9/30/2028,T13902,active,A065,,ORIZON CAPITAL PARTNERS,Orizon Analytics LLC,S05127,V748032,4100 Lakeside,,"",02/15/2026,Migrated,Data Migration;DM@bob.com,high,active
2026-01-30 07:38:00.0,12/31/2027,T13903,active,,,TREMOUNT ENTERPRISES,Tremount Data Corp,S02145,V748033,77 Water Street,,"",01/20/2026,Migrated,Goblindor Gulsi;ggulsi@bob.com,low,active
2026-04-05 10:55:00.0,6/30/2028,T13904,active,A067,Meridax,MERIDAX DIGITAL HOLDINGS,Meridax Software Solutions Inc,S02876,V748034,222 Broadway,,"",03/25/2026,Migrated,Data Migration;DM@bob.com,medium,active
2026-03-22 14:30:00.0,3/31/2027,T13905,active,,,BREVIX SUPPLY CHAIN GROUP,Brevix Transport Inc,S01534,V748035,820 Jorie Blvd,,"",03/10/2026,Migrated,Data Migration;DM@bob.com,high,active
2026-04-01 11:15:00.0,6/30/2028,T13906,active,A069,,ARMITAGE WRONG PARENT,Armitage Solutions Pty Ltd,S999030,V748036,45 Collins St Floor 12,,"",03/18/2026,Migrated,Data Migration;DM@bob.com,medium,active
2026-03-28 09:40:00.0,9/30/2027,T13907,active,,,ARMITAGE WRONG PARENT,Armitage Solutions Ltd,S999031,V748037,10 Finsbury Square Fl 8,,"",03/10/2026,Migrated,Data Migration;DM@bob.com,low,active
2026-04-10 09:00:00.0,12/31/2027,T13908,active,A070,,O'BRIEN CONSULTING GROUP,O'Brien & Co LLC,S999032,V748038,120 Park Avenue Ste 400,,"",03/20/2026,Migrated,Data Migration;DM@bob.com,medium,active
2026-04-10 09:15:00.0,12/31/2027,T13909,active,A071,,O'BRIEN CONSULTING GROUP,OBrien Co LLC,S999033,V748039,120 Park Ave Suite 400,,"",03/20/2026,Migrated,Data Migration;DM@bob.com,medium,active
2026-04-10 10:00:00.0,6/30/2028,T13910,active,A072,,AT&T SERVICES,AT&T Services Inc,S999034,V748040,208 S Akard St Floor 30,,"",03/22/2026,Migrated,Data Migration;DM@bob.com,high,active
2026-04-10 10:15:00.0,6/30/2028,T13911,active,A073,,AT&T SERVICES,ATT Services Inc.,S999035,V748041,208 S Akard Street Fl 30,,"",03/22/2026,Migrated,Data Migration;DM@bob.com,high,active
2026-04-10 11:00:00.0,3/31/2027,T13912,active,A074,,CO-OP FINANCIAL GROUP,Co-Op Financial Group,S999036,V748042,9 Greenway Plaza Ste 3100,,"",03/25/2026,Migrated,Data Migration;DM@bob.com,low,active
2026-04-10 11:15:00.0,3/31/2027,T13913,active,A075,,CO-OP FINANCIAL GROUP,Coop Financial Group,S999037,V748043,9 Greenway Plz Suite 3100,,"",03/25/2026,Migrated,Data Migration;DM@bob.com,low,active
2026-04-11 08:00:00.0,12/31/2027,T14001,active,A076,,UNKNOWN PARENT,,S999038,V748044,300 Park Ave,New York NY 10022,US,04/01/2026,Migrated,Data Migration;DM@bob.com,medium,active
2026-04-11 08:15:00.0,9/30/2028,T14002,active,A077,,,Zenith Corp,S999039,V748045,1500 Broadway,New York NY 10036,US,04/02/2026,Migrated,Data Migration;DM@bob.com,low,active
2026-04-11 08:30:00.0,6/30/2027,T14003,active,A078,,MIGRATION ERROR,,S999040,V748046,200 Clarendon St,Boston MA 02116,US,03/28/2026,Migrated,Goblindor Gulsi;ggulsi@bob.com,high,active
